,stage,generation,shape,scale,gddlow,gddhigh
1,Egg,1,3.506556,594.3527,0,1245.45
2,Egg,2,7.870788,1718.354,1245.45,2487.45
3,Egg,3,10.76041,2831.893,2487.45,3752.45
4,Egg,4,15.43351,3915.105,3752.45,4994.45
5,Larva,1,4.42486,742.941,213,1294
6,Larva,2,8.498947,1864.74,1294,2628
7,Larva,3,11.51428,2974.3,2628,3927.5
8,Larva,4,16.0801,4065.202,3927.5,5089
9,Pupa,1,1.270507,216.0254,0,796.95
10,Pupa,2,6.387198,1353.501,796.95,2084.95
11,Pupa,3,9.777329,2465.914,2084.95,3361.45
12,Pupa,4,14.28125,3547.529,3361.45,4672.45
13,Adult,1,2.877741,496.6747,0,1072.95
14,Adult,2,7.458859,1623.042,1072.95,2383.95
15,Adult,3,10.43142,2736.775,2383.95,3683.45
16,Adult,4,15.0675,3825.025,3683.45,4994.45
