stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,594.3527,0,1245.45
Egg,2,7.870788,1718.354,1234.2,2325
Egg,3,10.76041,2831.893,2314.2,3428
Egg,4,15.43351,3915.105,3417,4505
Larva,1,4.42486,742.941,213,1294
Larva,2,8.498947,1864.74,1284.6,2487
Larva,3,11.51428,2974.3,2475.4,3612.5
Larva,4,16.0801,4065.202,3601.2,4604.5
Pupa,1,1.270507,216.0254,0,796.95
Pupa,2,6.387198,1353.501,790.02,1981
Pupa,3,9.777329,2465.914,1969.8,3089.5
Pupa,4,14.28125,3547.529,3078.4,4234
Adult,1,2.877741,496.6747,0,1072.95
Adult,2,7.458859,1623.042,1063.62,2244
Adult,3,10.43142,2736.775,2232.6,3372.5
Adult,4,15.0675,3825.025,3361.2,4514
